,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
342,12723,3,9,1.0,0.0
343,11564,2,12,1.0,0.0
344,11546,2,12,1.0,0.0
345,12820,2,9,1.0,0.0
346,14807,4,10,1.0,0.0
347,12404,4,10,1.0,0.0
348,12999,6,7,0.875,0.0
349,9743,6,7,1.0,0.0
350,16247,3,9,1.0,0.0
351,9669,2,7,1.0,0.0
352,12044,2,12,1.0,0.0
353,14427,4,9,0.9,0.0
354,13613,4,10,1.0,0.0
355,9935,8,2,0.8,0.0
356,13032,3,11,1.0,0.0
357,8645,2,12,1.0,0.0
358,16219,2,10,1.0,0.0
359,11351,3,10,0.9090909090909091,0.0
360,17359,2,11,0.9166666666666666,0.0
361,13592,2,11,1.0,0.0
362,13931,3,11,1.0,0.0
363,15479,5,4,1.0,0.0
364,10820,6,8,1.0,0.0
365,15070,2,11,0.9166666666666666,0.0
366,14677,1,11,1.0,0.0
367,9378,3,5,1.0,0.0
368,9388,3,9,0.9,0.0
369,11186,4,9,1.0,0.0
370,14495,7,3,1.0,0.0
371,17939,2,7,0.9090909090909091,0.0
372,12239,3,7,0.875,0.0
373,12780,5,7,1.0,0.0
374,16749,2,12,1.0,0.0
375,14239,1,9,0.9166666666666666,0.0
376,16712,2,3,0.8888888888888888,0.0
377,9040,4,9,0.9,0.0
378,12358,4,8,0.8888888888888888,0.0
379,14016,4,8,1.0,0.0
380,12298,3,11,1.0,0.0
381,8848,7,7,1.0,0.0
382,13654,1,6,1.0,0.0
383,9710,3,7,1.0,0.0
384,12774,4,4,1.0,0.0
385,13937,3,5,0.9,0.0
386,11064,3,6,1.0,0.0
387,11145,3,2,0.8571428571428571,0.0
388,8669,1,8,1.0,0.0
389,18220,2,5,0.9166666666666666,0.0
390,10695,2,11,1.0,0.0
391,14420,3,10,0.9090909090909091,0.0
392,9473,1,13,1.0,0.0
393,10871,2,7,0.9166666666666666,0.0
394,6757,2,9,1.0,0.0
395,12741,3,11,1.0,0.0
396,16568,4,8,1.0,0.0
397,14617,4,10,1.0,0.0
398,11386,4,10,1.0,0.0
399,15088,4,8,1.0,0.0
400,8648,1,10,1.0,0.0
401,11182,3,11,1.0,0.0
402,13217,2,11,1.0,0.0
403,8867,2,11,1.0,0.0
404,7422,4,9,1.0,0.0
405,7208,5,9,1.0,0.0
406,9590,4,10,1.0,0.0
407,14847,4,10,1.0,0.0
408,15083,2,8,1.0,0.0
409,16122,3,10,1.0,0.0
410,10937,1,8,0.9230769230769231,0.0
411,6869,6,6,0.8571428571428571,0.0
412,8299,4,9,1.0,0.0
413,9619,4,3,0.8333333333333334,0.0
414,7923,3,10,1.0,0.0
415,13166,2,9,1.0,0.0
416,11401,4,10,1.0,0.0
417,13453,3,8,1.0,0.0
418,12851,4,7,0.875,0.0
419,13797,2,12,1.0,0.0
420,7614,3,9,1.0,0.0
421,13217,4,5,1.0,0.0
422,17110,6,4,1.0,0.0
423,7595,3,11,1.0,0.0
424,7978,6,7,0.875,0.0
425,16088,2,10,0.9090909090909091,0.0
426,8298,4,9,1.0,0.0
427,13562,2,5,0.9090909090909091,0.0
428,7591,7,7,1.0,0.0
429,16096,3,9,0.9,0.0
430,7019,5,8,1.0,0.0
431,11594,3,10,0.9090909090909091,0.0
432,7257,5,9,1.0,0.0
433,17126,3,10,1.0,0.0
434,12029,3,10,1.0,0.0
435,12057,2,5,0.9090909090909091,0.0
436,12936,3,8,1.0,0.0
437,12991,3,8,0.8,0.0
438,13605,2,8,1.0,0.0
439,12852,4,6,1.0,0.0
440,12848,3,8,1.0,0.0
441,12724,4,6,0.8888888888888888,0.0
442,13431,3,10,1.0,0.0
443,13425,2,11,1.0,0.0
444,15944,2,9,0.9,0.0
445,7569,2,11,1.0,0.0
